Substance,Genotoxicity
((E)-2-(2-hydroxymethylphenyl)-2-methoxyimino-N-methyl-acetamide),Negative
(-)-17-Oxosparteine,Negative
"(-)-3,7-Dimethyl-6-octen-1-ol",Negative
"(-)-3,7-Dimethyl-6-octen-1-ol",Not determined
(-)-Alpha-cedrene,Not determined
(-)-Alpha-cedrene,Not determined
(-)-Alpha-cedrene,Not determined
(-)-Alpha-elemol,Negative
(-)-Alpha-elemol,Negative
(-)-Alpha-elemol,Negative
(-)-Alpha-elemol,Negative
(-)-alpha-Santalene,Not determined
(-)-alpha-Santalene,Not determined
(-)-alpha-Santalene,Not determined
(-)-Anagyrine,Negative
(-)-Angustifoline,Negative
(-)-Bornyl acetate,Not determined
(-)-Bornyl acetate,Not determined
(-)-Cytisine,Negative
(-)-Hyoscyamine and (-)-Scopolamine group,Negative
(-)-Hyoscyamine and (-)-Scopolamine group,No data
(-)-Lupinine,Negative
(-)-Rhodinol,Negative
(-)-Rhodinol,Negative
(-)-Scopolamine,Negative
(-)-Scopolamine,Negative
(-)-Sparteine,Not determined
({2-[(2-Ethyl-6-methylphenyl)(isopropoxymethyl)amino]-2-oxoethyl}sulfinyl) acetic acid,Negative
({2-[(Ethoxymethyl)(2-ethyl-6-methylphenyl)amino]-2-oxoethyl}sulfinyl)acetic acid,Negative
(+)-13alpha-hydroxy-lupanine,Negative
(+)-13alpha-Tigloyloxylupanine,Negative
(+)-Alpha-cedrene,Not determined
(+)-Alpha-cedrene,Not determined
(+)-Alpha-cedrene,Not determined
(+)-Lupanine,Negative
"(1R) 2,2,3-Trimethylcyclopent-3-en-1-yl acetaldehyde",Not determined
"(1R) 2,2,3-Trimethylcyclopent-3-en-1-yl acetaldehyde",Not determined
"(1R) 2,2,3-Trimethylcyclopent-3-en-1-yl acetaldehyde",Not determined
"(1R) 2,2,3-Trimethylcyclopent-3-en-1-yl acetaldehyde",No data
"(1R)-1,7,7-Trimethylbicyclo[2.2.1]heptan-2-one",Negative
"(1R)-1,7,7-Trimethylbicyclo[2.2.1]heptan-2-one",Not determined
"(1R,2R,5S) 5-Isopropenyl-2-methylcyclopentanecarboxaldehyde",Not determined
"(1R,2R,5S) 5-Isopropenyl-2-methylcyclopentanecarboxaldehyde",Not determined
"(1R,2R,5S) 5-Isopropenyl-2-methylcyclopentanecarboxaldehyde",Not determined
"(1R,2R,5S) 5-Isopropenyl-2-methylcyclopentanecarboxaldehyde",No data
"(1R,2R,5S)-Isodihydrocarveol",Not determined
"(1R,2R,5S)-Isodihydrocarveol",Not determined
"(1R,2R,5S)-Isodihydrocarveol",Not determined
"(1R,2R,5S)-Isodihydrocarveol",Not determined
"(1R,2R,5S)-Isodihydrocarveol",Not determined
"(1R,2R,5S)-Isodihydrocarveol",Negative
"(1R,2R,5S)-Isodihydrocarveol",Negative
"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",Not determined
"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",Not determined
"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",Not determined
"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",Not determined
"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",Negative
"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",Negative
"(1R,2S,5R)-Menthyl hexanoate",Not determined
"(1R,2S,5R)-Menthyl hexanoate",Not determined
"(1R,2S,5R)-Menthyl hexanoate",Not determined
"(1R,2S,5R)-Menthyl hexanoate",Not determined
"(1R,2S,5R)-Menthyl hexanoate",Not determined
"(1R,2S,5R)-Menthyl hexanoate",Negative
"(1R,2S,5R)-Menthyl hexanoate",Negative
"(1R,2S,5R)-Menthyl salicylate",Not determined
"(1R,2S,5R)-Menthyl salicylate",Not determined
"(1R,2S,5R)-Menthyl salicylate",Not determined
"(1R,2S,5R)-Menthyl salicylate",Not determined
"(1R,2S,5R)-Menthyl salicylate",Not determined
"(1R,2S,5R)-Menthyl salicylate",Negative
"(1R,2S,5R)-Menthyl salicylate",Negative
"(1R,2S,5R)-N-(2-(Pyridine-2-yl)ethyl)-3-p-menthanecarboxamide",Negative
"(1R,2S,5R)-N-(2-(Pyridine-2-yl)ethyl)-3-p-menthanecarboxamide",Negative
"(1R,2S,5R)-N-(4-Methoxyphenyl)-5-methyl-2-(1-methylethyl)-cyclohexanecarboxamide",Negative
"(1R,2S,5R)-N-(4-Methoxyphenyl)-5-methyl-2-(1-methylethyl)-cyclohexanecarboxamide",Negative
